,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
437,ReMastered: Massacre at the Stadium,"['B.J. Perlmutt', 'Bent-Jorgen Perlmutt']",,,,"['Víctor Jara', 'Joan Jara', 'Pascale Bonnefoy']",,,,,Netflix,11-Jan-19,64 minutes,United States,"English, Spanish",,,64,,,11-01-19,,,,"['Catalina Ausin', 'John Meroney']",,,,,,,,,,,,,,,,,,,,,,
438,Fyre,Chris Smith,Danny Gabai Mick Purzycki Chris Smith,,,,,Jake Burghart Cory Fraiman-Lott Henry Zaballos,Jon Karmen Daniel Koehler,,Netflix,18-Jan-19,97 minutes,United States,English,,,97,,,18-01-19,,,,Chris Smith,Jerry Media Library Films Vice Studios MATTE Projects,,,,,,,,,,,,,,,,,,,,,
439,ReMastered: The Two Killings of Sam Cooke,Kelly Duane,,,,"['Sam Cooke', 'Quincy Jones', 'Smokey Robinson']",,,,,Netflix,08-Feb-19,74 minutes,United States,English,,,74,,,08-02-19,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
440,Period. End of Sentence.,Rayka Zehtabchi,Rayka Zehtabchi Guneet Monga Melissa Berton Garrett Schiff Lisa Taback,,,Arunachalam Muruganantham,"Giosuè Greco, Dan Romer , Osei Essed",Sam Davis,Sam Davis,,Netflix,"April 5, 2018 ( Cleveland International Film Festival ) February 19, 2019 (United States)",25 minutes,United States,Hindi,,,25,,,05-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Ankit: The Making of a Legend,Alex Dell,,,,,,,,,Netflix,21-Mar-19,60 minutes,,,,,60,,,21-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,
442,ReMastered: The Miami Showband Massacre,Stuart Sender,,,,"['Stephen Travers', 'Bertie Ahern', 'Alan Brecknell']",,,,,Netflix,22-Mar-19,71 minutes,United States,English,,,71,,,22-03-19,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
443,The Legend of Cocaine Island,Theo Love,Theo Love,,,Bo Butterworth,,,,,Netflix,20 April 2018 ( Tribeca Film Festival ) 29 March 2019 ( Netflix ),,United States,English,,,,,,20-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Homecoming,Beyoncé Ed Burke,Beyoncé,,,Beyoncé Jay-Z Kelly Rowland Les Twins Michelle Williams Solange Blue Ivy Carter,Beyoncé Knowles-Carter,Mark Ritchie,Live performance Alexander Hammer Documentary Andrew Morrow Nia Imani Julian Klincewicz,,Netflix,17-Apr-19,137 minutes,United States,English,,,137,,,17-04-19,,,,Beyoncé,Parkwood Entertainment,,,,,,,,,,,,,,,,,,,,,
445,Brené Brown: The Call to Courage,Sandra Restrepo,,,,Brené Brown,,,,,Netflix,19-Apr-19,76 minutes,United States,English,,,76,,,19-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Grass Is Greener,,,,,,,,,,Netflix,20-Apr-19,,,,,,,,,20-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,
447,ReMastered: Devil at the Crossroads,Brian Oakes,,,,"['Robert Johnson', 'Terry Bean', 'Rory Block']",,,,,Netflix,26-Apr-19,48 minutes,United States,English,,,48,,,26-04-19,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
448,Knock Down the House,Rachel Lears,Rachel Lears Robin Blotnick Sarah Olson,,,Alexandria Ocasio-Cortez Amy Vilela Cori Bush Paula Jean Swearengin,Ryan Blotnick,Rachel Lears,Robin Blotnick,Jubilee Films Atlas Films Artemis Rising,Netflix,"January 27, 2019 ( Sundance ) May 1, 2019 (United States)",86 minutes,United States,English,,,86,,,27-01-19,,,,Rachel Lears Robin Blotnick,,,,,,,,,,,,,,,,,,,,,,
449,All in My Family,Hao Wu,,,,,,,,,Netflix,03-May-19,39 minutes,United States,,,,39,,,03-05-19,,,,Hao Wu,,,,,,,,,,,,,,,,,,,,,,
450,ReMastered: The Lion's Share,Sam Cullman,,,,"['Rian Malan', 'Solomon Linda', 'Delphi Linda']",,,,,Netflix,17-May-19,84 minutes,United States,English,,,84,,,17-05-19,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
451,A Tale of Two Kitchens,Trisha Ziff,,,,,,,,,Netflix,22-May-19,29 minutes,,,,,29,,,22-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,
452,After Maria,Nadia Hallgren,,,,Glenda Martes,,,,,Netflix,"April 28, 2019 (Tribeca Film Festival) May 24, 2019",37 minutes,United States,Spanish,,,37,,,28-04-19,,,,,One Story Up Productions,,,,,,,,,,,,,,,,,,,,,
453,The Black Godfather,Reginald Hudlin,,,,"['Hank Aaron', 'Dina R. Andrews', 'Clarence Avant']",,,,,Netflix,07-Jun-19,118 minutes,United States,English,,,118,,,07-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"['Margaret Bodde', 'Jeff Rosen']",,,Bob Dylan,,"['Paul Goldsmith', 'Ellen Kuras']","['Damian Rodriguez', 'David Tedeschi']",,Netflix,12-Jun-19,142 minutes,United States,English,,,142,,,12-06-19,,,,,"['Grey Water Park Productions', 'Sikelia Productions']",,,,,,,,,,,,,,,,,,,,,
455,Life Overtakes Me,"['Kristine Samuelson', 'John Haptas']",,,,,,,,,Netflix,"April 7, 2019 (Full Frame Film Festival) June 14, 2019",39 minutes,"Sweden, United States",English,,,39,,,07-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,
456,The Edge of Democracy,Petra Costa,Shane Boris Petra Costa Joanna Natasegara Tiago Pavan,,,Dilma Rousseff Michel Temer Eduardo Cunha Luiz Inácio Lula da Silva,,João Atala,,Busca Vida Filmes,Netflix,"January 24, 2019 (Sundance Film Festival) June 19, 2019 (Netflix)",121 minutes,Brazil,"['Portuguese', 'English']",,,121,,,24-01-19,,,,Petra Costa Carol Pires David Barker Moara Passoni,,,,,,,,,,,,,,,,,,,,,,
457,Parchis: The Documentary,Daniel Arasanz,,,,"['Francisco Díaz', 'Tino Fernández', 'David Muñoz']",,,,,Netflix,10-Jul-19,106 minutes,Spain,Spanish,,,106,,,10-07-19,,,,"['Daniel Arasanz', 'Jordi Meya']",,,,,Parchís: El documental,,,,,,,,,,,,,,,,,
458,The Great Hack,Karim Amer Jehane Noujaim,Karim Amer Geralyn White Dreyfous Judy Korin Pedro Kos,,,Carole Cadwalladr David Carroll Brittany Kaiser,,,Erin Barnett Carlos Rojas,,Netflix,"January 26, 2019 ( Sundance ) July 24, 2019 (United States)",113 minutes,United States,,,,113,,,26-01-19,,,,Karim Amer Erin Barnett Pedro Kos,The Othrs,,,,,,,,,,,,,,,,,,,,,
459,Enter the Anime,Alex Burunova,,,,Shinji Aramaki Kôzô Morishita Yoko Takahashi,,,,,Netflix,05-Aug-19,58 minutes,"United States, Japan","English, Japanese",,,58,,,05-08-19,,,,,,,Tania Nolan,,,,,,,,,,,,,,,,,,,
460,American Factory,Steven Bognar Julia Reichert,Jeff Reichert Julie Parker Benello,,,,Chad Cannon,Steven Bognar Aubrey Keith Jeff Reichert Julia Reichert Erick Stoll,Lindsay Utz,,Netflix,"January 25, 2019 ( Sundance ) August 21, 2019 (United States)",110 minutes,United States,English Mandarin,,,110,,,25-01-19,,,,,Higher Ground Productions Participant Media,,,,,,,,,,,,,,,,,,,,,
461,Travis Scott: Look Mom I Can Fly,White Trash Tyler,Travis Scott Kylie Jenner David Stromberg Angus Wall,,,Travis Scott,,,,,Netflix,28-Aug-19,84 minutes,United States,English,,,84,,,28-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Evelyn,Orlando von Einsiedel,,,,Orlando von Einsiedel,,,,,Netflix,"October 11, 2018 (London Film Festival) September 10, 2019",100 minutes,United Kingdom,English,,,100,,,11-10-18,,,,,Grain Media Violet Films,,,,,,,,,,,,,,,,,,,,,
463,"Hello Privilege. It's Me, Chelsea",Alex Stapleton,,,,Chelsea Handler,,,,,Netflix,13-Sep-19,64 minutes,United States,English,,,64,,,13-09-19,,,,,Condé Nast Entertainment,,,,,,,,,,,,,,,,,,,,,
464,Los Tigres del Norte at Folsom Prison,Tom Donahue,,,,Los Tigres del Norte,,,Karim López,,Netflix,15-Sep-19,64 minutes,United States,Spanish,,,64,,,15-09-19,,,,,Creative Chaos Ventures,,,,,,,,,,,,,,,,,,,,,
465,Birders,Otilia Portillo Padua,,,,,,,,,Netflix,25-Sep-19,37 minutes,"United States, Mexico","English, Spanish",,,37,,,25-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Ghosts of Sugar Land,Bassam Tariq,,,,Jennifer Julian Kc Okoro,,,,,Netflix,"January 26, 2019 (Sundance) September 15, 2019",21 minutes,United States,English,,,21,,,26-01-19,,,,Thomas Niles Bassam Tariq,Field of Vision,,,,,,,,,,,,,,,,,,,,,
467,Tell Me Who I Am,Ed Perkins,Simon Chinn,,,Alex Lewis Marcus Lewis,Gary Welch,Erik Alexander Wilson,David Charap,,Netflix,18-Oct-19,86 minutes,United Kingdom,English,,,86,,,18-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Dancing with the Birds,Huw Cordey,,,,,,,,,Netflix,23-Oct-19,51 minutes,United States,English,,,51,,,23-10-19,,,,,,,Stephen Fry,,,,,,,,,,,,,,,,,,,
469,It Takes a Lunatic,Billy Lyons (directed by) Kim Ferraro (co-director) Seth Isler (co-director),,,,Alec Baldwin André Bishop Michael Douglas,,,,,Netflix,"May 3, 2019 (Tribeca) October 25, 2019",120 minutes,United States,English,,,120,,,03-05-19,,,,,Exemplar Productions,,,,,,,,,,,,,,,,,,,,,
470,A 3 Minute Hug,Everardo González,,,,,,,,,Netflix,28-Oct-19,28 minutes,Mexico United States,Spanish,,,28,,,28-10-19,,,,Everardo González,No Ficción,,,,,,,,,,,,,,,,,,,,,
471,Little Miss Sumo,Matt Kay,,,,Hiyori Kon,,,,,Netflix,"October 18, 2018 (London) October 28, 2019",19 minutes,United Kingdom,Japanese English,,,19,,,18-10-18,,,,Matt Kay,Walks of Life Films,,,,,,,,,,,,,,,,,,,,,
472,Fire in Paradise,Zackary Canepari Drea Cooper,,,,Joy Beeson Beth Bowersox Abbie DavisHiyori Kon,,,,,Netflix,"September 1, 2019 (Telluride) November 1, 2019 (Netflix)",39 minutes,United States,English,,,39,,,01-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,
473,"Bikram: Yogi, Guru, Predator",Eva Orner,,,,Larissa Anderson Francesca Asumah Sarah Baughn,,,,,Netflix,"September 10, 2019 (2019) August 11",86 minutes,United States,English,,,86,,,10-09-19,,,,,Pulse Films,,,,,,,,,,,,,,,,,,,,,
474,"Lorena, Light-Footed Woman",Juan Carlos Rulfo,,,,Lorena Ramirez Mario Ramírez Santiago Ramírez,,,,,Netflix,20-Nov-19,28 minutes,Mexico,Spanish Tarahumara,,,28,,,20-11-19,,,,,No Ficción,,,,,,,,,,,,,,,,,,,,,
475,After the Raid,Rodrigo Reyes,,,,,,,,,Netflix,19-Dec-19,24 minutes,United States Mexico,English,,,24,,,19-12-19,,,,,No Ficción,,,,,,,,,,,,,,,,,,,,,
476,El Pepe: A Supreme Life,Emir Kusturica,,,,Pepe Mujica,,,,,Netflix,"September 2, 2018 (Venice Film Festival) December 27, 2019",74 minutes,"Argentina, Uruguay, Serbia",Spanish,,,74,,,02-09-18,,,,,Kramer & Sigman Films Oriental Films,,,,,,,,,,,,,,,,,,,,,
477,Miss Americana,Lana Wilson,Morgan Neville Caitrin Rogers Christine O'Malley,,,Taylor Swift,Taylor Swift Alex Somers,Emily Topper,Paul Marchand Greg O'Toole Lee Rosch Lindsay Utz Jason Zeldes,,Netflix,"January 23, 2020 ( Sundance ) January 31, 2020 (United States)",85 minutes,United States,English,,,85,,,23-01-20,,,,,Tremolo Productions,,,,,,,,,,,,,,,,,,,,,
478,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,,,,Fernando Alonso Jackie Stewart Mika Häkkinen,,,,,Netflix,20-Mar-20,92 minutes,Argentina,Spanish English Italian German,,,92,,,20-03-20,,,,,Cinema 7 Films Fox Sports Netflix,,,,Fangio: El hombre que domaba las máquinas,,,,,,,,,,,,,,,,,
479,Crip Camp,Nicole Newnham James Lebrecht,Nicole Newnham James Lebrecht Sara Bolder,,,,Bear McCreary,Justin Schein,Andrew Gersh Eileen Meyer,Higher Ground Productions Rusted Spoke Little Punk Just Films Ford Foundation,Netflix,"January 23, 2020 ( Sundance ) March 25, 2020 (United States)",108 minutes,United States,English,,,108,,,23-01-20,,,,Nicole Newnham James Lebrecht,,,,,,,,,,,,,,,,,,,,,,
480,LA Originals,Estevan Oriol,,,,"['Estevan Oriol', 'Mister Cartoon']",,,,,Netflix,10-Apr-20,92 minutes,United States Argentina,English,,,92,,,10-04-20,,,,Brian Maya Omar Quiroga,Underground Contenidos,,,,,,,,,,,,,,,,,,,,,
481,Circus of Books,Rachel Mason,,,,Karen Mason Barry Mason Rachel Mason,,,,,Netflix,"April 26, 2019 ( Tribeca ) April 22, 2020 (United States)",92 minutes,United States,English,,,92,,,26-04-19,,,,Rachel Mason Kathryn Robson,,,,,,,,,,,,,,,,,,,,,,
482,A Secret Love,Chris Bolan,Ryan Murphy Brendan Mason Alexa L. Fogel,,,Terry Donahue Diana Bolen Pat Henschel,Duncan Thum,Stephen Kazmierski,Bernadine Colish,Blumhouse Productions Ryan Murphy Productions Beech Hill Films,Netflix,"April 29, 2020 (United States)",83 minutes,United States,English,,,83,,,29-04-20,,,,Chris Bolan Alexa L. Fogel Brendan Mason,,,,,,,,,,,,,,,,,,,,,,
483,Murder to Mercy: The Cyntoia Brown Story,Daniel H. Birman,,,,,,,,,Netflix,29-Apr-20,96 minutes,United States,English,,,96,,,29-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Becoming,Nadia Hallgren,Katy Chevigny Marilyn Ness Lauren Cioffi,,,,Kamasi Washington,Nadia Hallgren,Erin Casper Nathan Punwar Aaron Wickenden,,Netflix,06-May-20,89 minutes,United States,English,,,89,,,06-05-20,,,,,Higher Ground Productions Big Mouth Productions,,,,,,,,,,,,,,,,,,,,,
485,Have a Good Trip: Adventures in Psychedelics,Donick Cary,,,,Nick Offerman Sting ASAP Rocky,,,,,Netflix,11-May-20,85 minutes,United States,English,,,85,,,11-05-20,,,,Donick Cary,,,,,,,,,,,,,,,,,,,,,,
486,Spelling the Dream,Sam Rega,,,,,,,,,Netflix,03-Jun-20,82 minutes,United States,English,,,82,,,03-06-20,,,,Sam Rega Chris Weller,,,,,,,,,,,,,,,,,,,,,,
487,One Take,Manatsanun Panlertwongskul,,,,BNK48,,,,,Netflix,18-Jun-20,85 minutes,Thailand,,,,85,,,18-06-20,,,,,"iAM Films BNK48 Office Co., Ltd.",,,,,,,,,,,,,,,,,,,,,
488,Disclosure: Trans Lives on Screen,Sam Feder,Sam Feder Amy Scholder,,,,Francesco Le Metre,Ava Benjamin Shorr,Stacy Goldate,Field of Vision Bow and Arrow Entertainment Level Forward,Netflix,"January 27, 2020 ( Sundance ) June 19, 2020 (United States)",100 minutes,United States,English,,,100,,,27-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Athlete A,Bonni Cohen Jon Shenk,Serin Marshall Jen Sey Julie Parker Benello,,,,Jeff Beal,,Don Bernier,,Netflix,24-Jun-20,104 minutes,United States,English,,,104,,,24-06-20,,,,,Actual Films,,,,,,,,,,,,,,,,,,,,,
490,Mucho Mucho Amor: The Legend of Walter Mercado,Cristina Costantini Kareem Tabsch,Alex Fumero Kayla Malahiazar (co-producer) Executive Darren Foster Jeffrey Plunkett Lisa Leingang Mona Panchal,,,Walter Mercado,Jeff Morrow,Peter Alton,Tom Maroney,,Netflix,"January 2020 ( Sundance ) July 8, 2020 (United States)",96 minutes,United States,English Spanish,,,96,,,,,,,,"Muck Media Key Rat, Inc. Topic Studios",,,,,,,,,,,,,,,,,,,,,
491,The Claudia Kishi Club,Sue Ding,,,,,,,,,Netflix,10-Jul-20,17 minutes,United States,English,,,17,,,10-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,
492,We Are One,Stéphane de Freitas,,,,Afaq Panmela Castro Stéphane de Freitas,,,,,Netflix,14-Jul-20,86 minutes,France,French,,,86,,,14-07-20,,,,,,,,On est ensemble,,,,,,,,,,,,,,,,,,
493,Father Soldier Son,Catrin Einhorn Leslye Davis,Leslye Davis Catrin Einhorn Kathleen Lingo Nancy Donaldson Gauss,,,Brian Eisch,Nathan Halpern,Leslye Davis,Amy Foote,,Netflix,17-Jul-20,99 minutes,United States,English,,,99,,,17-07-20,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
494,The Speed Cubers,Sue Kim,"['Sue Kim', 'Chris Romano']",,,"['Max Park', 'Feliks Zemdegs']",Dan Vidmar,,"['Katie Turinski', 'Dylan Sylwester']","['Saltwater Films', 'Romano Films', 'Wieden & Kennedy']",Netflix,29-Jul-20,40 minutes,United States,,,,40,,,29-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Anelka: Misunderstood,Éric Hannezo,,,,Nicolas Anelka Franck Nataf Omar Sy Arsène Wenger Thierry Henry Didier Drogba Emmanuel Petit,,,,,Netflix,05-Aug-20,94 minutes,,English French,,,94,,,05-08-20,,,,,,,,Anelka : L'Incompris,,,,,,,,,,,,,,,,,,
496,John Was Trying to Contact Aliens,Matthew Killip,,,,John Shepherd,,,,,Netflix,"January 2020 (Sundance) August 20, 2020 (Netflix)",16 minutes,United States,English,,,16,,,,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
497,Rising Phoenix,Ian Bonhôte Peter Ettedgui,John Battsek Greg Nugent,,,"Jean-Baptiste Alaize Ryley Batt Ellie Cole Philip Craven Xavier Gonzalez, former CEO of the IPC Eva Loeffler, daughter of Sir Ludwig Guttmann Ntando Mahlangu Tatyana McFadden Andrew Parsons Jonnie Peacock Matt Stutzman The Duke of Sussex Bebe Vio Cui Zhe",Daniel Pemberton,,,,Netflix,"August 26, 2020 (Netflix)",105 minutes,United Kingdom,English,,,105,,,26-08-20,,,,,"HTYT Films, Passion Pictures, Misfits Entertainment, Ventureland",,,,,,,,,,,,,,,,,,,,,
498,My Octopus Teacher,Pippa Ehrlich James Reed,,,,,,,,,Netflix,4 September 2020 (Millennium Docs Against Gravity) 7 September 2020 (Netflix),85 minutes,South Africa,English,,,85,,,04-09-20,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
499,The Social Dilemma,Jeff Orlowski,Larissa Rhodes,,,Tristan Harris Aza Raskin Justin Rosenstein Shoshana Zuboff Jaron Lanier Skyler Gisondo Kara Hayward Vincent Kartheiser Anna Lembke,Mark A. Crawford,John Behrens Jonathan Pope,Davis Coombe,,Netflix,"January 26, 2020 ( Sundance ) September 9, 2020 (United States)",94 minutes,United States,English,,,94,,,26-01-20,,,,Davis Coombe Vickie Curtis Jeff Orlowski,Exposure Labs Argent Pictures The Space Program,,,,,,,,,,,,,,,,,,,,,
500,Hope Frozen,Pailin Wedel,,,,,,,,,Netflix,"April 27, 2019 ( Hot Docs )",75 minutes,Thailand,Thai English,,,75,,,27-04-19,,,,Nina Ijäs Pailin Wedel,2050 Productions,,,,,,,,,,,,,,,,,,,,,
501,A Love Song for Latasha,Sophia Nahli Allison,,,,Brittany Hudson,,,,,Netflix,"April 2019 (Tribeca) September 21, 2020",18 minutes,United States,English,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,American Murder: The Family Next Door,Jenny Popplewell,James Marsh,,,,Nainita Desai,,Simon Barker,,Netflix,30-Sep-20,82 minutes,United States,English,,,82,,,30-09-20,,,,,Knickerbockerglory,,,,,,,,,,,,,,,,,,,,,
503,Dick Johnson Is Dead,Kirsten Johnson,Katy Chevigny Marilyn Ness,,,,,Kirsten Johnson,Nels Bangerter,,Netflix,"January 25, 2020 ( Sundance ) October 2, 2020 (United States)",89 minutes,United States,English,,,89,,,25-01-20,,,,Nels Bangerter Kirsten Johnson,Big Mouth Productions,,,,,,,,,,,,,,,,,,,,,
504,Blackpink: Light Up the Sky,Caroline Suh,Zara Duffy Jon Kamen Dave Sirulnick Cara Mones,,,Blackpink,,Luke McCoubrey,Peter Holmes,,Netflix,14-Oct-20,79 minutes,South Korea United States,Korean English Thai,,,79,,,14-10-20,,,,,RadicalMedia,,,,,,,,,,,,,,,,,,,,,
505,Giving Voice,James D. Stern Fernando Villena,James D. Stern Fernando Villena Karen Bove Schoen Smith Craig Pilligan,,,,Bryan Senti,Jonathan Narducci,Rose Carr Wes Lipman Alexander Hadden,Endgame Entertainment Impact Partners Get Lifted Pilgrim Media Group JuVee Productions,Netflix,"January 26, 2020 ( Sundance )",87 minutes,United States,English,,,87,,,26-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,
506,13th,Ava DuVernay,Howard Barish Ava DuVernay Spencer Averick,,,,Jason Moran,Hans Charles Kira Kelly,Spencer Averick,,Netflix,"September 30, 2016 ( NYFF ) October 7, 2016 (United States)",100 minutes,United States,English,$1 million,$566 (UK only),100,1000000,566,30-09-16,,,,Ava DuVernay Spencer Averick,Kandoo Films,,,,,,,,,,,,,,,,,,,,,
507,Rodney King,Spike Lee,Steven Adams Bob L. Johnson Spike Lee Roger Guenveur Smith,,,Roger Guenveur Smith,Marc Anthony Thompson,,Randy Wilkins,,Netflix,28-Apr-17,52 minutes,USA,English,,,52,,,28-04-17,,,,Roger Guenveur Smith,,,,,,,,,,,,,,,,,,,,,,
508,Surviving Twin,,,,,Loudon Wainwright III,,,,,,13-Nov-18,,,,,,,,,13-11-18,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
509,Angela's Christmas,Damien O'Connor,Ellen McCourt,,,"['Malachy McCourt', 'Ruth Negga']",,,,,Netflix,"December 8, 2017 (Los Angeles) November 30, 2018",30 minutes,"Ireland, Canada",English,,,30,,,08-12-17,,,,"['Will Collins', ""Damien O'Connor""]","['Brown Bag Films', '9 Story']",,,,,,,,,,,,,,,,,,,,,
510,Still Laugh-In: The Stars Celebrate,,George Schlatter,,,Tony Hale Tiffany Haddish Neil Patrick Harris,,,,,Netflix,14-May-19,60 minutes,United States,English,,,60,,,14-05-19,,,,Jon Macks,,,,,,,,,,,,,,,,,,,,,,
511,"Frankenstein's Monster's Monster, Frankenstein",Daniel Gray Longino,Nathan Reinhart Erin Owens,,,David Harbour Alex Ozerov Kate Berlant Mary Woronov Alfred Molina Heather Lawless Marion Van Cuyck,Michael Penn,Carl Herse,Santiago Pedroza,Levenstein Harbour Longino A24,Netflix,16-Jul-19,32 minutes,United States,English,,,32,,,16-07-19,,,,John Levenstein,,,,,,,,,,,,,,,,,,,,,,
512,Invader Zim: Enter the Florpus,Hae Young Jung Young Kyun Park Jhonen Vasquez,Joann Estoesta,,"['Invader Zim', 'by Jhonen Vasquez']",Richard Steven Horvitz Rosearik Rikki Simons Andy Berman Melissa Fahn Rodger Bumpass Wally Wingert Kevin McDonald Jhonen Vasquez Olivia d'Abo Paul Greenberg,Kevin Manthei,,Jonathan Sims,,"['Netflix', 'ViacomCBS Domestic Media Networks']",16-Aug-19,71 minutes,United States,English,,,71,,,16-08-19,,,,Jhonen Vasquez,"['Nickelodeon Animation Studio', 'Maven Animation Studio', '(animation services)']",,,,,,,,,,,,,,,,,,,,,
513,American Factory,Steven Bognar Julia Reichert,Jeff Reichert Julie Parker Benello,,,,Chad Cannon,Steven Bognar Aubrey Keith Jeff Reichert Julia Reichert Erick Stoll,Lindsay Utz,,Netflix,"January 25, 2019 ( Sundance ) August 21, 2019 (United States)",110 minutes,United States,English Mandarin,,,110,,,25-01-19,,,,,Higher Ground Productions Participant Media,,,,,,,,,,,,,,,,,,,,,
514,El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,"['Breaking Bad', 'by Vince Gilligan']",Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,,Netflix,11-Oct-19,122 minutes,United States,English,more than $6 million,"at least $40,000",122,6000000,40000,11-10-19,,,,Vince Gilligan,Sony Pictures Television Gran Vía Productions High Bridge Productions,,,,,,,,,,,,,,,,,,,,,
515,The Irishman: In Conversation,Martin Scorsese,,,,Robert De Niro Al Pacino Joe Pesci,,,,Netflix Studios,Netflix,27-Nov-19,23 minutes,United States,English,,,23,,,27-11-19,,,,John Levenstein,,,,,,,,,,,,,,,,,,,,,,
516,The First Temptation of Christ,Rodrigo Van Der Put,,,,Gregorio Duvivier Antonio Tabet Fábio Porchat,,Rodrigo Graciosa,,,Netflix,03-Dec-19,46 minutes,Brazil,Portuguese,,,46,,,03-12-19,,,,,Porta dos Fundos,,,,,,,,,,,,,,,,,,,,,
517,John Mulaney & the Sack Lunch Bunch,Rhys Thomas,John Skidmore,,,"['John Mulaney', 'Alexander Bello', 'Tyler Bourke', 'Ava Briglia', 'Cordelia Commando', 'Camille De La Cruz', 'Oriah Elgrabli', 'Jake Ryan Flynn', 'Orson Hong', 'Isabella Iannelli', 'Jacob Michael Laval', 'Suri Marrero', 'Zell Steele Morrow', 'Jonah Mussolino', 'Lexi Perkel', 'Linder Sutton']",Eli Bolin,,Adam Epstein,,Netflix,24-Dec-19,70 minutes,United States,English,,,70,,,24-12-19,,,,"['John Mulaney', 'Marika Sawyer']","['A24', '3 Arts Entertainment', 'Petunia Pictures']",,,,,,,,,,,,,,,,,,,,,
518,What Did Jack Do?,David Lynch,Sabrina S. Sutherland,,,David Lynch,,Scott Ressler,David Lynch,,Netflix,"November 8, 2017 (France) January 20, 2020",17 minutes,United States,English,,,17,,,08-11-17,,,,David Lynch,,,,,,,,,,,,,,,,,,,,,,
519,Road to Roma,Andres Clariond Gabriel Nuncio,,,,Yalitza Aparicio Odín Ayala Eugenio Caballero,,,,Netflix Studios,Netflix,11-Feb-20,72 minutes,Mexico,Spanish Mixtec,,,72,,,11-02-20,,,,Pedro G. García,,,,,,,,,,,,,,,,,,,,,,
